sale_id,borough,borough_name,neighborhood,building_class_category,tax_class_at_present,block,lot,easement,building_class_at_present,address,apartment_number,zipcode,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date,sale_date_yyyymm,price_per_gross_square_foot
1,1,Manhattan,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2B,765,25, ,C4,219 WEST 15TH STREET, ,10011,9,0,9,1566,6330,1901,2,C4,630370.00,2017-08-31,2017-08,99.58
2,1,Manhattan,FLATIRON,08 RENTALS - ELEVATOR APARTMENTS           ,2,844,8, ,D6,9 EAST 16TH   STREET, ,10003,15,1,16,4600,30680,1900,2,D6,576299.00,2017-01-27,2017-01,18.78
3,1,Manhattan,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,1949,7, ,B3,355 WEST 122ND STREET, ,10027,2,0,2,1615,3840,1899,1,B3,500000.00,2016-12-05,2016-12,130.21
4,1,Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2,1937,145, ,C5,232 WEST 132ND STREET, ,10027,11,0,11,1499,2250,1910,2,C5,725000.00,2017-03-16,2017-03,322.22
5,1,Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2B,1937,148, ,C5,242 WEST 132 STREET, ,10027,7,0,7,1682,2561,1910,2,C5,530000.00,2017-03-23,2017-03,206.95
6,1,Manhattan,HARLEM-CENTRAL,37 RELIGIOUS FACILITIES                    ,4,1721,132, ,M9,32-34 WEST 123RD STREET, ,10027,0,1,1,3088,10018,1909,4,M9,665000.00,2017-01-26,2017-01,66.38
7,1,Manhattan,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2B,1687,19, ,C1,337 EAST 115 STREET, ,10029,10,0,10,5046,13125,1900,2,C1,800000.00,2017-08-25,2017-08,60.95
8,1,Manhattan,INWOOD,01 ONE FAMILY DWELLINGS                    ,1,2215,510, ,A5,49 MARBLE HILL AVENUE, ,10463,1,0,1,1219,1224,1920,1,A5,635000.00,2017-08-18,2017-08,518.79
9,1,Manhattan,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1848,12, ,C7,2111 FREDRICK DOUGLASS BL, ,10026,13,1,14,2542,11795,1900,2,C7,622843.00,2017-05-25,2017-05,52.81
10,1,Manhattan,MURRAY HILL,10 COOPS - ELEVATOR APARTMENTS             ,2,915,38, ,D4,240 EAST 35TH STREET, ,10016,121,0,121,12343,91745,1955,2,D4,650000.00,2017-02-03,2017-02,7.08
11,1,Manhattan,UPPER EAST SIDE (59-79),21 OFFICE BUILDINGS                        ,4,1396,7, ,O7,115 EAST 61ST   STREET, ,10065,0,32,32,5723,58298,1930,4,O7,730000.00,2016-11-01,2016-11,12.52
12,1,Manhattan,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1562,18, ,D4,431 EAST 82ND STREET, ,10028,14,0,14,2554,10560,1910,2,D4,550000.00,2017-03-29,2017-03,52.08
13,1,Manhattan,UPPER WEST SIDE (59-79),07 RENTALS - WALKUP APARTMENTS             ,2B,1185,96, ,C1,45 RIVERSIDE DRIVE, ,10024,10,0,10,1650,6140,1900,2,C1,660000.00,2017-06-06,2017-06,107.49
14,1,Manhattan,WASHINGTON HEIGHTS LOWER,02 TWO FAMILY DWELLINGS                    ,1,2108,64, ,B3,953 ST.NICHOLAS AVE, ,10032,2,0,2,1070,1656,1901,1,B3,700000.00,2017-01-25,2017-01,422.71
15,2,Bronx,BATHGATE,02 TWO FAMILY DWELLINGS                    ,1,2929,136, ,B1,543 CLAREMONT PARKWAY, ,10457,2,0,2,2265,2394,1995,1,B1,530000.00,2017-02-02,2017-02,221.39
16,2,Bronx,BATHGATE,02 TWO FAMILY DWELLINGS                    ,1,3030,150, ,S2,2262 WEBSTER AVENUE, ,10457,2,1,3,1620,3240,1931,1,S2,700000.00,2017-07-27,2017-07,216.05
17,2,Bronx,BATHGATE,02 TWO FAMILY DWELLINGS                    ,1,3039,18, ,B3,464 EAST 185TH STREET, ,10458,2,0,2,1800,1944,1910,1,B3,500000.00,2017-01-12,2017-01,257.20
18,2,Bronx,BATHGATE,02 TWO FAMILY DWELLINGS                    ,1,3039,30, ,B1,469B EAST 184TH STREET, ,10458,2,0,2,741,2133,2006,1,B1,540625.00,2017-03-27,2017-03,253.46
19,2,Bronx,BATHGATE,03 THREE FAMILY DWELLINGS                  ,1,3031,145, ,C0,412 E 187TH STREET, ,10458,3,0,3,1784,2302,2004,1,C0,545000.00,2016-10-14,2016-10,236.75
20,2,Bronx,BATHGATE,03 THREE FAMILY DWELLINGS                  ,1,3047,29, ,C0,2108 BATHGATE AVENUE, ,10457,3,0,3,1650,3316,2005,1,C0,600000.00,2017-03-28,2017-03,180.94
